bank_name,debit_transactions,debit_amount,credit_transactions,credit_amount,month
KARUR VYSYA BANK,1077987,74568.850,1547042,87983.570,January 2020
KAVERI GRAMEENA BANK,0,0.000,18405,295.330,January 2020
KERALA GRAMIN BANK,89608,3768.780,340871,10042.880,January 2020
KOREA EXCHANGE BANK,2485,4614.330,829,3544.610,January 2020
KOTAK MAHINDRA BANK,8537090,620363.530,5636467,654502.470,January 2020
KOZHIKODE DIST CO-OP BANK,7247,455.340,11391,733.410,January 2020
KRUNG THAI BANK PCL,72,6.920,21,12.950,January 2020
KURMANCHAL NAGAR SAHAKARI BANK,17110,1252.330,15833,1173.890,January 2020
LAKSHMI VILAS BANK,386605,18491.190,371333,22416.930,January 2020
MAHANAGAR CO-OP BANK,18198,1262.420,52697,2195.300,January 2020
MAHARASHTRA GRAMIN BANK,94924,12185.900,456385,10445.750,January 2020
MAHARASHTRA STATE CO-OP BANK,7036,3852.390,15127,10261.970,January 2020
MAHESH SAHAKARI BANK,7074,593.370,6410,528.330,January 2020
MASHREQ BANK,866,409.160,71,334.420,January 2020
MEHSANA URBAN CO-OP BANK,42454,2876.940,66833,5931.450,January 2020
MIZUHO CORP BANK,32040,14712.350,7130,21495.430,January 2020
MUMBAI DIST CENTRAL CO-OP BANK,15872,1019.540,30696,2246.480,January 2020
MUNICIPAL CO-OP BANK,3782,194.070,4962,140.170,January 2020
NABARD BANK,16638,5542.720,353,29352.450,January 2020
NAGAR URBAN CO-OP BANK,12773,864.030,11589,897.590,January 2020
NAGPUR NAGRIK SAHAKARI BANK,14341,846.770,22138,1482.610,January 2020
NAINITAL BANK,48856,3172.100,89108,5160.790,January 2020
NATIONAL BANK OF ABU DHABI PJSC,887,1901.030,23,895.150,January 2020
NAV JEEVAN CO-OP BANK,3504,343.070,2783,240.470,January 2020
NEW INDIA CO-OP BANK,18784,817.190,42147,1455.250,January 2020
NILAMBUR CO-OP URBAN BANK,2487,128.060,2686,104.470,January 2020
NKGSB BANK,61602,4399.650,99207,5309.180,January 2020
NORTH EAST SMALL FINANCE BANK,18216,815.360,2217,68.450,January 2020
NSDL PAYMENTS BANK,197,14.040,218,8.220,January 2020
NUTAN NAGARIK SAHAKARI BANK,26083,1355.000,32671,2128.700,January 2020
ODISHA STATE CO-OP BANK,5864,86.860,222,28.290,January 2020
ORIENTAL BANK OF COMMERCE,1551609,95543.540,3070954,178153.530,January 2020
PAYTM PAYMENTS BANK,293641,43742.390,768703,58517.210,January 2020
PRAGATHI KRISHNA GRAMIN BANK,100903,37923.810,301991,18748.650,January 2020
PRIME CO-OP BANK SURAT,21411,1449.320,24257,1155.970,January 2020
PUNJAB AND SIND BANK,313430,23502.240,1052103,47488.400,January 2020
PUNJAB NATIONAL BANK,4340238,342051.840,12608486,648438.780,January 2020
PUSAD URBAN CO-OP BANK,12,0.000,3,0.210,January 2020
QATAR NATIONAL BANK,22,2849.700,19,80.110,January 2020
RABOBANK INTERNATIONAL,2810,889.190,212,1593.050,January 2020
RAJARAMBAPU SAHAKARI BANK,16565,1964.170,6625,1250.520,January 2020
RAJASTHAN MARUDHARA GRAMIN BANK,64381,4978.690,1330078,6688.240,January 2020
RAJGURUNAGAR SAHAKARI BANK,13587,508.780,21504,655.510,January 2020
RAJKOT NAGARIK SAHAKARI BANK,19131,1160.330,36690,1516.600,January 2020
RBI PAD,46154448,2194667.270,1778992,344701.140,January 2020
RBL BANK,3546945,135332.240,1180334,123449.420,January 2020
SAMARTH SAHAKARI BANK SOLAPUR,7943,361.930,11194,367.560,January 2020
SANT SOPANKAKA SAHAKARI BANK,2795,119.940,1890,110.240,January 2020
SARASPUR NAGRIK CO-OP BANK,6831,567.740,2186,158.020,January 2020
SARASWAT CO-OP BANK,381908,25030.370,676850,41453.680,January 2020
SATARA SAHAKARI BANK,1990,224.850,28,3.020,January 2020
SBER BANK,188,91.390,54,100.410,January 2020
SBM BANK INDIA,2773,1489.770,2022,3146.800,January 2020
SEVA VIKAS CO-OP BANK,6524,309.240,29456,830.380,January 2020
SHAMRAO VITHAL CO-OP BANK,227482,14384.660,377231,20351.170,January 2020
SHIKSHAK SAHAKARI BANK,5155,348.290,7816,417.070,January 2020
SHINHAN BANK,29094,12268.230,19250,14426.980,January 2020
SHIVALIK MERCANTILE CO-OP BANK,12280,780.190,12179,821.900,January 2020
SHRI CHHATRAPATI SHAHU URBAN CO-OP BANK,19569,1132.170,13149,933.900,January 2020
SHRI VEERSHAIV CO-OP BANK,4427,380.440,2719,212.690,January 2020
SINDHUDURG DCCB,8669,395.740,11623,238.910,January 2020
SIR M. VISVESWARAYA CO-OP BANK,2079,601.770,2064,256.730,January 2020
SOCIETE GENERALE,10266,5566.710,624,805.150,January 2020
SOLAPUR JANATA SAHAKARI BANK,11824,1506.660,19882,1443.110,January 2020
SOUTH INDIAN BANK,867126,55486.620,1023416,58983.080,January 2020
STANDARD CHARTERED BANK,5217599,488524.110,1848218,414722.640,January 2020
STATE BANK OF INDIA,22585672,2674984.330,62516886,3192540.690,January 2020
SUMITOMO MITSUI BANKING CORP,19916,11384.200,4853,17778.250,January 2020
SURAT DIST CO-OP BANK,19609,1516.430,43512,1885.850,January 2020
SURAT NATIONAL CO-OP BANK,13479,935.080,15347,700.280,January 2020
SURAT PEOPLES CO-OP BANK,39783,3017.820,48877,2526.650,January 2020
SURYODAY SMALL FINANCE BANK,94859,5308.220,9472,738.640,January 2020
SUTEX CO-OP BANK,27666,931.710,27035,1469.310,January 2020
SYNDICATE BANK,1517206,154819.730,4045476,207004.490,January 2020
TAMIL NADU STATE APEX CO-OP BANK,122045,3798.020,104202,5415.870,January 2020
TAMILNADU MERCANTILE BANK,479039,32767.110,745869,42746.880,January 2020
TELANGANA STATE CO-OP APEX BANK,54255,3597.200,199555,5129.820,January 2020
TEXTILE TRADERS CO-OP BANK,2437,104.420,2058,163.960,January 2020
THANE BHARAT SAHAKARI BANK,13522,1322.400,30960,1760.540,January 2020
THANE DIST CENTRAL CO-OP BANK,15886,6590.530,92927,3671.100,January 2020
THANE JANATA SAHAKARI BANK,106769,7290.520,216401,11036.480,January 2020
A P MAHESH URBAN CO-OP BANK,21724,5545.030,35737,2889.190,January 2020
AJARA URBAN CO-OP BANK,0,0.000,13,0.110,January 2020
AP STATE CO-OP BANK,45263,1884.470,56966,3138.650,January 2020
BARAMATI SAHAKARI BANK,8326,555.670,13945,806.980,January 2020
GADCHIROLI DIST CO-OP BANK,7107,830.620,63973,1213.570,January 2020
GUJARAT STATE CO-OP BANK,108273,9134.330,477304,19057.410,January 2020
HARYANA STATE CO-OP APEX BANK,2051,81.730,2544,226.440,January 2020
HASTI CO-OP BANK,6757,384.350,7653,601.880,January 2020
KANGRA CENTRAL CO-OP BANK,52416,1373.590,56539,1785.000,January 2020
KANGRA CO-OP BANK,4509,384.840,15268,444.310,January 2020
KERALA STATE CO-OP BANK,1145,27.990,3236,608.100,January 2020
MALKAPUR URBAN CO-OP OP BANK,105,10.860,375,61.260,January 2020
MUSLIM CO-OP BANK,1538,95.870,679,46.370,January 2020
NASIK MERCHANTS CO-OP BANK,15593,812.020,21922,1057.930,January 2020
NAVNIRMAN CO-OP BANK,7827,1519.020,10940,675.460,January 2020
PANDHARPUR URBAN CO-OP BANK,4441,238.520,4720,867.020,January 2020
RAJASTHAN STATE CO-OP BANK,51934,2869.530,424844,4042.770,January 2020
SAHEBRAO DESHMUKH CO-OP BANK,3354,787.310,9816,413.300,January 2020
URBAN CO-OP BANK,1971,220.860,629,45.960,January 2020
VARACHHA CO-OP BANK,26834,1875.610,55534,1658.720,January 2020
VIJAY CO-OP OP BANK,4447,273.940,2077,130.070,January 2020
VISHWESHWAR SAHAKARI BANK,11438,721.610,25498,1352.730,January 2020
ZOROASTRIAN CO-OP BANK,5882,296.490,8316,729.090,January 2020
THRISSUR DIST CO-OP BANK,5531,394.700,8235,566.680,January 2020
TUMKUR GRAIN MERCHANTS CO-OP BANK,9466,655.140,6591,558.750,January 2020
UCO BANK,739487,46720.940,3246937,101241.730,January 2020
UJJIVAN SMALL FINANCE BANK,47195,3079.030,111483,7620.380,January 2020
UNION BANK OF INDIA,2763736,221039.780,6942569,404499.340,January 2020
UNITED BANK OF INDIA,1138256,60517.340,4270620,110577.590,January 2020
UNITED OVERSEAS BANK,74,6.720,21,711.140,January 2020
UTKARSH SMALL FINANCE BANK,214888,7100.550,23253,2223.950,January 2020
UTTAR PRADESH CO-OP BANK,27080,6186.640,761,981.090,January 2020
VASAI JANATA SAHAKARI BANK,3717,764.890,5735,210.660,January 2020
VASAI VIKAS SAHAKARI BANK,6449,444.740,21417,976.590,January 2020
VIJAYA BANK,826912,52688.650,2141806,105598.370,January 2020
WEST BENGAL STATE CO-OP BANK,1415273,23487.900,200556,38899.690,January 2020
WESTPAC BANKING CORP,4,0.300,3,0.000,January 2020
WOORI BANK,17369,2365.050,1761,4476.920,January 2020
YES BANK,18572876,633105.200,3949919,466538.980,January 2020
ZILA SAHKARI BANK GHAZIABAD,2147,169.240,13002,408.660,January 2020
ABHYUDAYA CO-OP BANK,110234,4399.130,225959,8256.900,February 2020
ABU DHABI COMMERCIAL BANK,104,0.610,95,0.510,February 2020
ADITYA BIRLA IDEA PAYMENTS BANK,0,0.000,0,0.000,February 2020
AHMEDABAD MERCANTILE CO-OP BANK,21540,1909.400,36571,2502.156,February 2020
AHMEDNAGAR MERCHANTS CO-OP BANK,10892,1154.840,11116,914.668,February 2020
AIRTEL PAYMENTS BANK,278293,33523.490,255968,8663.912,February 2020
AKOLA DIST CENTRAL CO-OP BANK,16773,1273.400,191354,3803.469,February 2020
AKOLA JANATA COMMERCIAL CO-OP BANK,18002,1242.160,15994,1609.689,February 2020
ALLAHABAD BANK,1367874,90581.740,4111903,154557.451,February 2020
ALMORA URBAN CO-OP BANK,16883,558.330,22461,815.687,February 2020
AMBARNATH JAI HIND CO-OP BANK,2163,159.120,8816,187.111,February 2020
ANDHRA BANK,1172443,111700.910,3880493,211207.712,February 2020
ANDHRA PRADESH GRAMEEN VIKAS BANK,71254,4020.290,288372,10660.223,February 2020
ANDHRA PRAGATHI GRAMEENA BANK,48260,3463.530,255531,5231.508,February 2020
ANZ BANKING GROUP,33251,9562.400,7366,13590.472,February 2020
APANA SAHAKARI BANK,17122,1255.440,67496,2771.402,February 2020
AU SMALL FINANCE BANK,197174,23813.690,190686,28303.801,February 2020
AXIS BANK,22882103,1195397.370,10925662,1121148.057,February 2020
BANK N PARIBAS,339499,106325.550,152237,158907.372,February 2020
BANDHAN BANK,501628,27885.780,555552,29473.327,February 2020
BANK INTERNASIONAL INDONESIA,1172,246.620,41,4.116,February 2020
BANK OF AMERICA,643561,131761.180,114358,113308.121,February 2020
BANK OF BAHARIEN AND KUWAIT,15293,5507.690,2928,1827.576,February 2020
BANK OF BARODA,4230826,383434.350,12882472,500795.235,February 2020
BANK OF CEYLON,2115,87.050,601,260.390,February 2020
BANK OF INDIA,2585126,138592.620,9693503,420495.232,February 2020
BANK OF MAHARASHTRA,1221547,87457.160,3241112,162711.444,February 2020
BANK OF NOVA SCOTIA,544,5015.710,637,4925.396,February 2020
BANK OF TOKYO AND MITSUBISHI,69411,24811.690,9736,22292.611,February 2020
BARCLAYS BANK,62632,21116.870,11377,28545.299,February 2020
BASSEIN CATHOLIC CO-OP BANK,39748,3000.400,77793,4054.233,February 2020
BHAGINI NIVEDITA SAHAKARI BANK,3534,100.380,6458,163.539,February 2020
BHARAT CO-OP BANK,90558,6070.490,187558,9380.367,February 2020
CANARA BANK,3389456,299866.610,7263595,460237.651,February 2020
CAPITAL SMALL FINANCE BANK,40391,2334.180,52029,3755.876,February 2020
CATHOLIC SYRIAN BANK,174782,10242.580,208802,9828.617,February 2020
CENTRAL BANK OF INDIA,2087784,163410.500,6611702,233209.788,February 2020
CITI BANK,7615441,1102850.250,2983101,798647.503,February 2020
CITIZEN CREDIT CO-OP BANK,12557,728.250,31127,1447.805,February 2020
CITY UNION BANK,1118559,57005.030,786989,50656.985,February 2020
CORP BANK,2941416,106070.280,2980107,169891.608,February 2020
COSMOS CO-OP BANK,126265,14052.920,222897,15844.455,February 2020
CREDIT AGRICOLE CORP AND INVESTMENT BANK,11585,14613.650,924,20975.321,February 2020
CREDIT SUISSE AG,60,6.770,30,2428.844,February 2020
CTBC BANK CO-OP,1518,371.890,623,3382.823,February 2020
DCB BANK,295923,20419.170,415423,27612.468,February 2020
DELHI STATE CO-OP OP BANK,2126,207.050,8192,467.433,February 2020
DENA BANK,527160,37473.910,1829026,63835.641,February 2020
DEOGIRI NAGARI SAHAKARI BANK,5319,604.930,14113,586.799,February 2020
DEUTSCHE BANK,2263521,376178.810,433478,248480.567,February 2020
DEVELOPMENT BANK OF SINGAPORE,525540,95322.180,204167,58956.423,February 2020
DHANLAXMI BANK,156725,6426.470,180475,8930.842,February 2020
DICGC BANK,118,85.240,9,0.221,February 2020
DMK JAOLI BANK,3934,471.840,12882,407.326,February 2020
DOHA BANK QSC,27386,3111.460,1666,484.370,February 2020
DOMBIVLI NAGRIK SAHAKARI BANK,23491,1827.580,67280,2683.675,February 2020
DURGAPUR STEEL PEOPLES CO-OP BANK,1904,191.040,8023,344.757,February 2020
EMIRATES NBD BANK PJSC,3788,1042.030,224,1856.055,February 2020
EQUITAS SMALL FINANCE BANK,257321,13048.360,80862,5616.878,February 2020
ESAF SMALL FINANCE BANK,34068,1185.570,43202,1964.383,February 2020
EXPORT IMPORT BANK OF INDIA,0,0.000,141,1594.641,February 2020
FEDERAL BANK,2466050,160907.630,2189605,125647.866,February 2020
FINCARE SMALL FINANCE BANK,10031,1894.590,16027,1053.320,February 2020
FINO PAYMENTS BANK,499954,10636.330,151444,4711.788,February 2020
FIRSTRAND BANK,96,353.220,33,4594.150,February 2020
GOPINATH PATIL PARSIK JAN SAHA BANK,36342,2930.810,92552,3989.903,February 2020
GREATER BOMBAY CO-OP BANK,8817,371.380,38002,1069.480,February 2020
HDFC BANK,32727916,2880946.070,18894647,2627445.043,February 2020
HIMACHAL PRADESH STATE CO-OP,63236,1378.810,84754,2630.822,February 2020
HSBC BANK,2188416,532623.310,921460,383023.031,February 2020
ICICI BANK,20823155,1328644.720,15250108,1526753.640,February 2020
IDBI BANK,7426129,395222.480,4520235,389527.000,February 2020
IDFC BANK,979584,82550.200,641092,89039.944,February 2020
IDUKKI DIST CO-OP BANK,5737,595.090,4266,308.508,February 2020
INDIA POST PAYMENTS BANK,290539,7046.720,129142,2355.117,February 2020
INDIAN BANK,1391074,100125.600,4798762,197237.174,February 2020
INDIAN OVERSEAS BANK,1725600,109890.650,3869706,181473.430,February 2020
INDUSIND BANK,3920504,297618.620,2017957,284850.716,February 2020
INDUSTRIAL AND CO-OP BANK OF CHINA,771,1806.040,131,1142.344,February 2020
INDUSTRIAL BANK OF KOREA,1871,576.240,266,1298.242,February 2020
IRINJALAKUDA TOWN CO-OP BANK,1331,52.680,895,68.433,February 2020
JALGAON JANATA SAHKARI BANK,12663,591.140,19988,1617.679,February 2020
JALGAON PEOPLES CO-OP BANK,6841,1038.490,28024,1180.977,February 2020
JAMMU AND KASHMIR BANK,518188,36861.440,464845,28991.302,February 2020
JANA SMALL FINANCE BANK,49172,5325.740,19840,2722.610,February 2020
JANAKALYAN SAHAKARI BANK,16033,1268.750,37766,1674.506,February 2020
JANATA SAHAKARI BANK,80627,6041.260,98678,6390.627,February 2020
JANSEVA SAHAKARI BANK BORIVILI,4022,214.820,8950,344.911,February 2020
JANSEVA SAHAKARI BANK PUNE,9446,498.550,35524,1174.822,February 2020
JIO PAYMENTS BANK,1318,5.880,1596,2.093,February 2020
JP MORGAN BANK,445347,62083.440,18937,67173.918,February 2020
KALLAPPANNA AWADE IJSB,19308,1008.190,22922,1452.671,February 2020
KALUPUR COMM CO-OP BANK,67439,5869.700,105786,8475.566,February 2020
KALYAN JANATA SAHAKARI BANK,14207,1287.270,48721,1810.461,February 2020
KARAD URBAN CO-OP BANK,18467,1083.920,30173,2555.863,February 2020
KARNATAKA BANK,532013,40119.900,1411988,62580.827,February 2020
KARNATAKA STATE CO-OP APEX BANK,60888,2224.230,137843,4807.458,February 2020
KARNATAKA VIKAS GRAMEEN BANK,73479,7799.160,198675,7745.458,February 2020
KARUR VYSYA BANK,1155939,75471.720,1547703,87533.315,February 2020
KAVERI GRAMEENA BANK,0,0.000,0,0.000,February 2020
KERALA GRAMIN BANK,81394,3076.250,351363,10588.050,February 2020
KOREA EXCHANGE BANK,2256,5593.790,928,3235.024,February 2020
KOTAK MAHINDRA BANK,8211092,585005.030,5569789,618395.923,February 2020
KOZHIKODE DIST CO-OP BANK,7173,496.630,10464,523.753,February 2020
KRUNG THAI BANK PCL,56,2.980,23,11.482,February 2020
KURMANCHAL NAGAR SAHAKARI BANK,17634,1595.860,15202,1175.680,February 2020
LAKSHMI VILAS BANK,383936,22153.130,370231,23057.121,February 2020
MAHANAGAR CO-OP BANK,15640,1100.140,50311,1988.774,February 2020
MAHARASHTRA GRAMIN BANK,85118,9103.690,582460,12290.634,February 2020
MAHARASHTRA STATE CO-OP BANK,6386,4959.400,14804,9725.297,February 2020
MAHESH SAHAKARI BANK,6926,467.360,6554,594.102,February 2020
MASHREQ BANK,873,390.950,67,330.215,February 2020
MEHSANA URBAN CO-OP BANK,41113,2806.360,60926,5439.150,February 2020
MIZUHO CORP BANK,35876,11754.980,6856,32493.247,February 2020
MUMBAI DIST CENTRAL CO-OP BANK,14457,730.170,28587,1947.304,February 2020
MUNICIPAL CO-OP BANK,3559,168.730,5170,127.931,February 2020
NABARD BANK,17190,11034.120,194,29012.884,February 2020
NAGAR URBAN CO-OP BANK,11109,732.860,11809,739.489,February 2020
NAGPUR NAGRIK SAHAKARI BANK,14078,872.330,21353,1427.765,February 2020
NAINITAL BANK,48216,3384.940,71411,4547.334,February 2020
NATIONAL BANK OF ABU DHABI PJSC,787,1419.940,10,638.970,February 2020
NAV JEEVAN CO-OP BANK,3051,250.960,2748,187.379,February 2020
NEW INDIA CO-OP BANK,17853,752.120,39770,1476.766,February 2020
NILAMBUR CO-OP URBAN BANK,2224,108.490,2992,96.953,February 2020
NKGSB BANK,58355,3182.760,93285,5585.762,February 2020
NORTH EAST SMALL FINANCE BANK,18986,800.420,2611,1597.646,February 2020
NSDL PAYMENTS BANK,182,21.570,189,5.561,February 2020
NUTAN NAGARIK SAHAKARI BANK,25945,1445.850,33070,2383.841,February 2020
ODISHA STATE CO-OP BANK,10398,147.580,438,40.796,February 2020
ORIENTAL BANK OF COMMERCE,1515135,95060.950,2853924,177057.721,February 2020
PAYTM PAYMENTS BANK,415007,55488.090,742934,81446.969,February 2020
PRAGATHI KRISHNA GRAMIN BANK,91070,29473.760,330152,14249.361,February 2020
PRATHAMA BANK,0,0.000,0,0.000,February 2020
PRIME CO-OP BANK SURAT,20453,1396.180,23220,1148.712,February 2020
PUNJAB AND SIND BANK,312639,25577.750,915951,60221.805,February 2020
PUNJAB NATIONAL BANK,4353992,348283.130,11852173,651493.196,February 2020
PUSAD URBAN CO-OP BANK,88,27.760,10,0.000,February 2020
QATAR NATIONAL BANK,110,2218.260,25,63.006,February 2020
RABOBANK INTERNATIONAL,2811,1562.620,232,1610.067,February 2020
RAJARAMBAPU SAHAKARI BANK,15069,1888.270,6505,1217.495,February 2020
RAJASTHAN MARUDHARA GRAMIN BANK,58883,5966.320,1081865,6109.730,February 2020
RAJGURUNAGAR SAHAKARI BANK,12590,496.200,19851,659.509,February 2020
RAJKOT NAGARIK SAHAKARI BANK,17702,1019.720,34966,1933.883,February 2020
RBI PAD,38054409,1895042.740,1412854,336602.091,February 2020
RBL BANK,3289252,114208.120,1157482,114558.487,February 2020
SAMARTH SAHAKARI BANK SOLAPUR,7345,429.960,10089,330.766,February 2020
SANT SOPANKAKA SAHAKARI BANK,2310,107.730,1927,91.669,February 2020
SARASPUR NAGRIK CO-OP BANK,6718,523.830,2742,139.726,February 2020
SARASWAT CO-OP BANK,371884,23698.350,642882,38795.086,February 2020
SATARA SAHAKARI BANK,4219,641.250,157,16.608,February 2020
SBER BANK,225,217.410,62,48.087,February 2020
SBM BANK INDIA,2759,7031.750,2093,2497.932,February 2020
SEVA VIKAS CO-OP BANK,6122,289.660,27395,832.443,February 2020
SHAMRAO VITHAL CO-OP BANK,208827,13148.930,355664,21500.228,February 2020
SHIKSHAK SAHAKARI BANK,4635,214.820,7189,378.535,February 2020
SHINHAN BANK,25978,11049.030,17294,13691.283,February 2020
SHIVALIK MERCANTILE CO-OP BANK,11984,812.110,11880,692.064,February 2020
